,Unnamed: 0,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),fitness,model_name,image_size,method,F1(B),F1(M),model_image_size,sorting_key_corrected,marker_size
0,0,0.9028616386638176,0.9120307923746408,0.9605367243475408,0.870983250419594,0.8992645465465392,0.9047942322614048,0.9549373303834988,0.8002806845647588,1.6956849469590214,yolov8n-seg,640,YoloV8,0.9074230534358091,0.9020209147842799,yolov8n-seg (640),"(640, 1)",100.0
1,1,0.9066083765437932,0.9137116423660356,0.9706856520192216,0.910445408981096,0.9066083765437932,0.9137116423660356,0.9682146612765156,0.8255644485692388,1.756298903124875,yolov8x-seg,640,YoloV8,0.9101461502475174,0.9101461502475174,yolov8x-seg (640),"(640, 5)",100.0
2,2,0.8967068985220482,0.9268057218881364,0.9679624259072704,0.9005316108230689,0.9151325416258418,0.9034055312311996,0.9641719831204174,0.8177559159127069,1.739672214964967,yolov8m-seg,640,YoloV8,0.911507905242636,0.9092312250747611,yolov8m-seg (640),"(640, 3)",100.0
3,3,0.9030514088357644,0.920330022955662,0.9678574758534056,0.9145389922759554,0.9030514088357644,0.920330022955662,0.9675176805291364,0.8989485992949019,1.8256763480520255,yolov8l-seg,1280,YoloV8,0.9116088486295726,0.9116088486295726,yolov8l-seg (1280),"(1280, 4)",200.0
4,4,0.9072022323336644,0.9189292059345796,0.965782279231444,0.9179845666688085,0.9065127617662984,0.918849195639692,0.9655683473543866,0.89676063890702,1.8264057476768287,yolov8x-seg,1280,YoloV8,0.9130280652426893,0.9126392917378168,yolov8x-seg (1280),"(1280, 5)",200.0
5,5,0.9224620943749968,0.8838163696679109,0.9637596025097684,0.9048319476198428,0.922899655105506,0.8842157306902751,0.9630647543390788,0.8902428314179943,1.808249736818938,yolov8s-seg,1280,YoloV8,0.9027258151347815,0.9031436501588587,yolov8s-seg (1280),"(1280, 2)",200.0
6,6,0.9226832478466584,0.8941849726015313,0.966688001581992,0.913168269613218,0.925426415003666,0.894012849008829,0.9672914539776496,0.898483950161442,1.8238849433531583,yolov8m-seg,1280,YoloV8,0.908210607032502,0.9094484462216954,yolov8m-seg (1280),"(1280, 3)",200.0
7,7,0.9242710283509676,0.899777033647247,0.9688186590244996,0.9003240221021601,0.9239229300751448,0.8991379434939579,0.9671289122075012,0.8249658203870615,1.7463556153634996,yolov8l-seg,640,YoloV8,0.9118595737709659,0.9113619576161551,yolov8l-seg (640),"(640, 4)",100.0
8,8,0.8910940671916141,0.9310831164861346,0.9633686660022802,0.8992265720819773,0.8884820130350168,0.930389768248404,0.9628280262580516,0.8783936939842729,1.7924779086856584,yolov8n-seg,1280,YoloV8,0.9106497969516911,0.9089531023646319,yolov8n-seg (1280),"(1280, 1)",200.0
9,9,0.9090315252191384,0.9061122513029924,0.9634835103052256,0.8905375980932646,0.907918623764034,0.9050084985436108,0.9618907931312644,0.8263794391310318,1.7377627638455158,yolov8s-seg,640,YoloV8,0.9075695407444918,0.9064612254755996,yolov8s-seg (640),"(640, 2)",100.0
10,10,0.897250989914596,0.8984260391593375,0.9645306404521355,0.9037011426382612,,,,,0.9097840924196487,rtdetr-l,640,RTDETR,0.8978381300745313,,rtdetr-l (640),"(640, 1)",100.0
11,11,0.8698311337515705,0.914067506985466,0.9631771541549294,0.9136922541796586,,,,,0.9186407441771856,rtdetr-l,1280,RTDETR,0.8914008428171031,,rtdetr-l (1280),"(1280, 1)",200.0
12,12,0.930545055338986,0.8876252741750066,0.9662282744168538,0.907808975997344,,,,,0.9136509058392948,yolov9c,640,YoloV9,0.9085785819618475,,yolov9c (640),"(640, 1)",100.0
13,13,0.9033909277117768,0.8773565123705187,0.963575357089752,0.91235100657169,,,,,0.9174734416234962,rtdetr-x,1280,RTDETR,0.8901834092854211,,rtdetr-x (1280),"(1280, 2)",200.0
14,14,0.9034385533897906,0.9180112817760976,0.9637123142810504,0.9044310876157532,,,,,0.9103592102822832,yolov9e,640,YoloV9,0.9106666221502285,,yolov9e (640),"(640, 2)",100.0
15,15,0.9026515576178172,0.916595298580958,0.9674181557919668,0.9179320386811236,,,,,0.922880650392208,yolov9e,1280,YoloV9,0.9095699917250484,,yolov9e (1280),"(1280, 2)",200.0
16,16,0.9118021974972186,0.9117765768683594,0.9670706423722903,0.9119106354002178,,,,,0.9174266360974253,yolov9c,1280,YoloV9,0.9117893870028086,,yolov9c (1280),"(1280, 1)",200.0
17,17,0.8986451609982598,0.9031306361134526,0.9648510223807958,0.903766320104948,,,,,0.9098747903325328,rtdetr-x,640,RTDETR,0.9008823153176305,,rtdetr-x (640),"(640, 2)",100.0
