                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7928,                0.44313,                 2.3883,                0.54845,                0.57883,                0.57056,                0.50745,                0.60918,                0.69517,                0.22139,             0.00054274,             0.00054274,             0.00054274
                      2,                0.44438,                0.52394,                0.15127,                0.82291,                0.82207,                0.89038,                0.80311,                0.20661,                0.50883,                0.04866,              0.0010962,              0.0010962,              0.0010962
                      3,                0.27023,                0.44086,                0.07339,                0.87503,                0.87046,                 0.9409,                0.86088,                0.20907,                0.41696,                0.04691,              0.0016475,              0.0016475,              0.0016475
                      4,                0.28029,                0.41266,                0.07566,                0.89368,                0.86136,                0.94498,                0.84667,                0.21084,                0.51715,                0.04923,              0.0016571,              0.0016571,              0.0016571
                      5,                0.22322,                 0.4219,                0.05403,                    nan,                0.85868,                0.82624,                0.76792,                    nan,                    nan,                    nan,              0.0016571,              0.0016571,              0.0016571
                      6,                0.22604,                0.37544,                0.05292,                0.90434,                0.89266,                0.95645,                0.89291,                0.17433,                0.38969,                0.04142,              0.0016538,              0.0016538,              0.0016538
                      7,                0.21601,                0.36732,                0.05044,                0.90971,                0.87481,                0.95665,                 0.8922,                0.17826,                0.39106,                0.04093,              0.0016505,              0.0016505,              0.0016505
                      8,                0.20429,                0.36285,                0.04528,                  0.903,                0.88444,                0.95918,                0.89734,                0.16222,                0.39259,                0.03716,              0.0016472,              0.0016472,              0.0016472
                      9,                 0.1862,                0.35693,                0.04258,                0.91203,                 0.8852,                0.95368,                0.87369,                0.19376,                0.41919,                0.04566,              0.0016439,              0.0016439,              0.0016439
                     10,                0.18559,                0.39312,                0.03937,                0.87972,                0.90135,                0.95894,                0.89323,                0.16278,                0.40637,                0.03388,              0.0016406,              0.0016406,              0.0016406
                     11,                0.19195,                0.35505,                0.04197,                0.91847,                 0.8829,                0.95497,                0.89653,                0.15998,                0.42172,                 0.0373,              0.0016373,              0.0016373,              0.0016373
                     12,                 0.1747,                0.34618,                0.03666,                0.90809,                0.89181,                0.96112,                 0.8926,                0.15893,                0.41792,                0.03629,               0.001634,               0.001634,               0.001634
                     13,                0.17637,                 0.3501,                0.03708,                0.90064,                0.88604,                0.95833,                0.89915,                0.15449,                0.38045,                0.03669,              0.0016307,              0.0016307,              0.0016307
                     14,                0.18544,                0.33748,                0.04217,                0.90405,                0.88732,                0.96026,                0.90157,                0.16356,                0.36703,                0.03735,              0.0016274,              0.0016274,              0.0016274
                     15,                0.16931,                0.33034,                0.03484,                0.89963,                0.89806,                0.96113,                0.90773,                0.15901,                0.35255,                0.03667,              0.0016241,              0.0016241,              0.0016241
                     16,                0.17091,                0.34038,                0.03577,                0.90429,                0.88928,                0.95877,                 0.8975,                0.17531,                0.38125,                0.04172,              0.0016208,              0.0016208,              0.0016208
                     17,                 0.1699,                0.32745,                 0.0339,                    0.9,                0.89218,                0.95784,                0.89973,                0.17531,                0.37607,                0.04603,              0.0016175,              0.0016175,              0.0016175
                     18,                0.17329,                0.33167,                0.03617,                0.91153,                0.87661,                0.95372,                0.87472,                0.18008,                0.39956,                0.03997,              0.0016142,              0.0016142,              0.0016142
                     19,                0.16732,                 0.3298,                0.03426,                0.89762,                0.89119,                0.95954,                0.90886,                0.14998,                0.37291,                0.03609,              0.0016109,              0.0016109,              0.0016109
                     20,                0.16449,                0.33584,                  0.033,                0.90166,                 0.8799,                0.96004,                0.91052,                0.14062,                0.37535,                 0.0315,              0.0016076,              0.0016076,              0.0016076
                     21,                0.16408,                0.33335,                  0.034,                0.91593,                0.86995,                0.95938,                0.90025,                0.15997,                0.38382,                0.03522,              0.0016043,              0.0016043,              0.0016043
                     22,                0.16323,                0.32303,                0.03371,                0.90747,                0.87604,                0.96189,                0.90666,                0.14332,                0.37426,                0.02971,               0.001601,               0.001601,               0.001601
                     23,                0.15188,                 0.3189,                 0.0298,                0.90576,                0.87873,                0.95949,                0.90299,                0.16087,                0.36963,                0.03645,              0.0015977,              0.0015977,              0.0015977
                     24,                0.16165,                0.31971,                0.03392,                0.90343,                0.87685,                0.95807,                0.89848,                0.18611,                 0.3805,                0.04441,              0.0015944,              0.0015944,              0.0015944
                     25,                0.16244,                0.32597,                0.03222,                0.91516,                0.88261,                0.96167,                0.91245,                0.14816,                0.36451,                0.03447,              0.0015911,              0.0015911,              0.0015911
                     26,                0.15943,                0.32337,                0.03385,                0.89355,                 0.8826,                0.96283,                0.88912,                  0.165,                0.42005,                0.03399,              0.0015878,              0.0015878,              0.0015878
                     27,                0.16068,                0.32188,                0.03223,                0.91616,                0.88471,                 0.9595,                0.90658,                0.16905,                 0.3558,                0.04321,              0.0015845,              0.0015845,              0.0015845
                     28,                0.16494,                0.33099,                0.03273,                 0.9103,                0.88439,                0.96047,                0.89048,                0.15741,                0.39787,                0.03478,              0.0015812,              0.0015812,              0.0015812
