                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93442,                 1.0965,                0.37473,                 0.7236,                0.60276,                0.66164,                0.58264,                0.40574,                0.56939,                0.13742,             0.00054913,             0.00054913,             0.00054913
                      2,                0.40241,                0.57583,                 0.1396,                0.80868,                0.78675,                0.85174,                0.78377,                0.23707,                0.68206,                 0.0832,              0.0011026,              0.0011026,              0.0011026
                      3,                0.37725,                0.48908,                0.12783,                0.81868,                0.81674,                0.88143,                0.76302,                0.24454,                0.60925,                0.06522,              0.0016539,              0.0016539,              0.0016539
                      4,                0.33767,                 0.4591,                0.10691,                    nan,                0.74432,                0.63694,                0.55544,                    nan,                    nan,                    nan,              0.0016571,              0.0016571,              0.0016571
                      5,                0.30614,                0.40731,                0.08955,                    nan,                0.58399,                0.56623,                0.53416,                    nan,                    nan,                    nan,              0.0016571,              0.0016571,              0.0016571
                      6,                0.25559,                0.39579,                0.06775,                0.87609,                0.83724,                0.93167,                 0.8597,                0.15997,                0.47885,                0.03607,              0.0016538,              0.0016538,              0.0016538
                      7,                0.24855,                0.39964,                0.06177,                 0.8823,                0.86823,                0.94434,                0.87156,                0.17295,                0.40474,                0.03874,              0.0016505,              0.0016505,              0.0016505
                      8,                0.21818,                0.36366,                0.05546,                0.90615,                0.87594,                0.95498,                0.88551,                0.16131,                0.41163,                0.03467,              0.0016472,              0.0016472,              0.0016472
                      9,                0.21568,                0.39304,                0.05335,                 0.8705,                0.89105,                 0.9462,                0.88658,                0.14447,                0.40645,                0.03311,              0.0016439,              0.0016439,              0.0016439
                     10,                0.20784,                0.38477,                0.05155,                0.89697,                0.88436,                0.95727,                0.89967,                0.13831,                0.41888,                0.03026,              0.0016406,              0.0016406,              0.0016406
                     11,                0.19528,                0.35439,                0.04583,                0.86985,                0.88272,                0.94812,                0.88566,                0.15696,                0.40098,                0.03655,              0.0016373,              0.0016373,              0.0016373
                     12,                0.19619,                0.36223,                0.04564,                0.88538,                0.89482,                0.95508,                0.88954,                0.15741,                0.37971,                0.03461,               0.001634,               0.001634,               0.001634
                     13,                0.19834,                0.36856,                0.04489,                0.88191,                0.89218,                0.95694,                0.88998,                0.14983,                0.39522,                0.03233,              0.0016307,              0.0016307,              0.0016307
                     14,                0.19308,                0.37292,                 0.0428,                 0.8832,                0.88559,                0.95563,                0.87819,                0.16172,                0.40466,                0.03614,              0.0016274,              0.0016274,              0.0016274
                     15,                0.17817,                0.35653,                0.04083,                    nan,                0.97891,                0.94476,                0.87224,                    nan,                    nan,                    nan,              0.0016241,              0.0016241,              0.0016241
                     16,                0.17659,                0.35993,                0.04067,                0.89718,                0.89687,                0.96047,                0.90385,                0.13888,                0.52032,                0.03017,              0.0016208,              0.0016208,              0.0016208
                     17,                0.18535,                0.36441,                0.04025,                0.90394,                0.89315,                0.96015,                0.90511,                0.14492,                0.34944,                0.03362,              0.0016175,              0.0016175,              0.0016175
                     18,                0.17679,                0.34356,                0.04053,                0.91343,                0.88906,                0.95936,                0.90636,                0.14031,                0.35048,                0.03166,              0.0016142,              0.0016142,              0.0016142
                     19,                0.17744,                0.34513,                0.03898,                0.90646,                 0.8787,                0.95789,                0.90321,                0.14111,                0.35837,                0.03032,              0.0016109,              0.0016109,              0.0016109
                     20,                0.16424,                0.34132,                0.03532,                0.89489,                0.89166,                0.95647,                0.89746,                0.14495,                0.37063,                0.03049,              0.0016076,              0.0016076,              0.0016076
                     21,                0.17098,                0.34399,                0.03787,                0.89176,                 0.8888,                0.95826,                 0.8944,                0.14516,                0.37856,                 0.0334,              0.0016043,              0.0016043,              0.0016043
                     22,                0.17179,                0.34859,                0.03645,                0.88425,                0.86237,                0.92929,                0.86988,                 0.1466,                0.40604,                0.03202,               0.001601,               0.001601,               0.001601
                     23,                0.16629,                0.32618,                0.03676,                0.89188,                0.89571,                0.95916,                0.89448,                0.14685,                0.39294,                0.03009,              0.0015977,              0.0015977,              0.0015977
                     24,                 0.1678,                0.32946,                0.03779,                0.88641,                0.90005,                0.96161,                0.90951,                0.13844,                0.37444,                0.03026,              0.0015944,              0.0015944,              0.0015944
                     25,                0.16158,                0.33281,                0.03387,                0.87954,                0.89911,                0.96023,                0.91076,                0.12747,                0.37221,                0.02666,              0.0015911,              0.0015911,              0.0015911
                     26,                0.15754,                0.33683,                0.03183,                0.92474,                0.87484,                0.96301,                 0.9041,                 0.1378,                0.37015,                0.03188,              0.0015878,              0.0015878,              0.0015878
                     27,                0.15337,                0.32129,                0.03132,                0.92072,                0.88042,                0.96398,                0.90927,                0.13731,                0.37337,                0.02928,              0.0015845,              0.0015845,              0.0015845
                     28,                 0.1537,                0.32776,                0.03096,                0.91083,                0.89268,                0.96275,                0.90895,                0.14392,                 0.3535,                0.03157,              0.0015812,              0.0015812,              0.0015812
                     29,                0.15367,                0.32352,                0.03202,                0.89432,                0.89377,                0.96033,                0.90727,                0.13169,                0.37594,                0.02692,              0.0015779,              0.0015779,              0.0015779
                     30,                0.15068,                0.32643,                0.03095,                0.90316,                0.88368,                0.96141,                0.90997,                0.13825,                0.38603,                0.03101,              0.0015746,              0.0015746,              0.0015746
                     31,                0.15693,                0.32446,                0.03255,                0.90902,                0.87721,                0.96315,                0.90689,                0.13798,                0.37846,                0.02851,              0.0015713,              0.0015713,              0.0015713
                     32,                0.15734,                0.33064,                0.03274,                0.90216,                0.90276,                0.96441,                0.91545,                0.12875,                0.34791,                0.02822,               0.001568,               0.001568,               0.001568
                     33,                0.15918,                0.32852,                0.03427,                0.89448,                0.87966,                0.95878,                 0.9028,                0.13474,                0.42614,                0.02782,              0.0015647,              0.0015647,              0.0015647
                     34,                0.15358,                0.32975,                0.03347,                 0.9227,                0.88108,                0.96469,                0.91235,                0.13416,                0.36738,                0.02939,              0.0015614,              0.0015614,              0.0015614
                     35,                0.15607,                0.34678,                0.03207,                    nan,                0.98053,                0.94723,                0.89343,                    nan,                    nan,                    nan,              0.0015581,              0.0015581,              0.0015581
                     36,                0.15983,                0.32244,                 0.0355,                    nan,                0.95843,                0.92797,                0.87302,                    nan,                    nan,                    nan,              0.0015548,              0.0015548,              0.0015548
                     37,                0.16243,                0.35012,                0.03446,                0.90791,                0.88474,                0.96297,                0.91428,                0.12619,                0.38922,                0.02733,              0.0015515,              0.0015515,              0.0015515
                     38,                0.15781,                0.34008,                0.03264,                0.89626,                 0.8874,                0.96041,                0.90116,                0.14172,                0.37702,                0.03034,              0.0015482,              0.0015482,              0.0015482
                     39,                0.16313,                0.34593,                0.03397,                0.91354,                0.85109,                0.93986,                0.87431,                0.15077,                0.45874,                0.03364,              0.0015449,              0.0015449,              0.0015449
                     40,                0.16396,                0.35007,                0.03348,                 0.8876,                0.88181,                0.95285,                0.89309,                0.14556,                0.40069,                0.03183,              0.0015416,              0.0015416,              0.0015416
                     41,                0.15674,                0.33775,                0.03162,                0.91109,                0.89087,                0.96015,                0.90587,                0.13493,                0.37589,                0.02908,              0.0015383,              0.0015383,              0.0015383
                     42,                0.15446,                0.32878,                 0.0333,                0.90188,                 0.8896,                0.96084,                0.89779,                0.14873,                0.37921,                0.03175,               0.001535,               0.001535,               0.001535
                     43,                0.15477,                0.33255,                0.03216,                0.90344,                0.89066,                0.96155,                0.90167,                0.14468,                0.38636,                0.03167,              0.0015317,              0.0015317,              0.0015317
                     44,                0.15694,                0.32933,                0.03298,                0.90416,                0.89531,                 0.9625,                0.90833,                0.12636,                0.37256,                0.02591,              0.0015284,              0.0015284,              0.0015284
                     45,                0.14861,                0.32317,                 0.0301,                 0.9191,                0.88249,                0.96308,                0.89853,                0.15572,                 0.3877,                0.03347,              0.0015251,              0.0015251,              0.0015251
                     46,                0.15598,                0.33977,                0.03255,                0.90406,                0.88199,                0.96006,                0.90649,                0.13312,                0.39051,                0.03061,              0.0015218,              0.0015218,              0.0015218
                     47,                0.15523,                0.33716,                0.03257,                 0.8886,                0.88942,                0.95863,                0.90286,                0.13275,                0.38356,                 0.0284,              0.0015185,              0.0015185,              0.0015185
                     48,                0.18522,                0.35946,                 0.0389,                0.90924,                0.89082,                0.96215,                0.90833,                0.13059,                0.35596,                0.02887,              0.0015152,              0.0015152,              0.0015152
                     49,                0.18328,                0.34418,                0.04163,                    nan,                0.93834,                0.91193,                0.85578,                    nan,                    nan,                    nan,              0.0015119,              0.0015119,              0.0015119
                     50,                0.16741,                0.33604,                0.03795,                    nan,                0.82872,                0.81133,                0.76869,                    nan,                    nan,                    nan,              0.0015086,              0.0015086,              0.0015086
