                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59102,                 1.2816,                0.94711,                0.43941,                0.51168,                0.43909,                0.36849,                0.78004,                 2.6866,                  1.042,             0.00054433,             0.00054433,             0.00054433
                      2,                0.66541,                0.90387,                0.94902,                0.26632,                0.46218,                 0.4123,                0.31161,                 1.1716,                    inf,                 4.9492,              0.0010978,              0.0010978,              0.0010978
                      3,                0.70914,                0.77844,                 0.9866,                0.64295,                0.51557,                0.55424,                0.44089,                0.88243,                 1.9151,                 1.1685,              0.0016491,              0.0016491,              0.0016491
                      4,                0.64257,                 0.6973,                0.95757,                0.75887,                 0.6865,                 0.7368,                0.61288,                0.68965,                0.99733,                 1.0295,              0.0016571,              0.0016571,              0.0016571
                      5,                0.64436,                0.63791,                  0.963,                0.90557,                0.83953,                0.93339,                0.82002,                0.57169,                0.72869,                0.92393,              0.0016571,              0.0016571,              0.0016571
                      6,                0.58367,                0.57165,                0.93152,                0.90031,                0.87557,                0.94899,                0.85996,                0.48853,                0.68403,                 0.8734,              0.0016538,              0.0016538,              0.0016538
                      7,                0.53266,                0.51527,                0.91428,                0.89623,                0.88457,                0.95507,                0.88126,                0.50901,                 0.5119,                0.88184,              0.0016505,              0.0016505,              0.0016505
                      8,                0.53239,                0.50264,                0.91254,                0.93592,                0.84074,                0.92216,                0.85655,                0.46629,                0.71366,                0.86468,              0.0016472,              0.0016472,              0.0016472
                      9,                 0.5286,                0.47911,                0.90766,                0.92797,                0.88366,                 0.9567,                0.87049,                0.52189,                0.47456,                 0.8908,              0.0016439,              0.0016439,              0.0016439
                     10,                0.53444,                0.45776,                0.91884,                0.92725,                0.88693,                0.96263,                 0.8915,                0.44105,                0.47925,                0.85896,              0.0016406,              0.0016406,              0.0016406
                     11,                0.50166,                0.45346,                0.90042,                0.91996,                0.89702,                0.96294,                0.88986,                 0.4672,                0.45284,                0.86063,              0.0016373,              0.0016373,              0.0016373
                     12,                0.57387,                0.45579,                0.91678,                0.93444,                0.89881,                0.96158,                0.86087,                0.54399,                 0.5202,                0.90378,               0.001634,               0.001634,               0.001634
                     13,                0.53892,                0.47531,                0.91789,                0.88058,                0.89693,                0.95501,                0.88381,                0.45165,                0.45185,                0.86343,              0.0016307,              0.0016307,              0.0016307
                     14,                0.50098,                0.45085,                0.89714,                0.91321,                0.90274,                0.96327,                0.88035,                0.49981,                0.49003,                0.86722,              0.0016274,              0.0016274,              0.0016274
                     15,                0.50674,                0.43623,                 0.8972,                0.92279,                0.88899,                0.95736,                0.86823,                0.48887,                0.48805,                0.87881,              0.0016241,              0.0016241,              0.0016241
                     16,                0.49121,                0.42931,                0.89457,                0.90187,                0.88808,                0.95844,                0.89046,                0.46635,                 0.4728,                0.85758,              0.0016208,              0.0016208,              0.0016208
                     17,                0.48561,                0.43477,                0.88632,                  0.926,                0.89989,                0.96478,                0.89784,                0.45371,                0.44886,                0.86088,              0.0016175,              0.0016175,              0.0016175
                     18,                0.48274,                0.41656,                0.88697,                0.92237,                0.88245,                0.96116,                0.89736,                0.42444,                0.46136,                0.84318,              0.0016142,              0.0016142,              0.0016142
                     19,                0.47517,                0.40886,                0.88692,                0.91384,                0.90344,                0.95921,                0.88358,                 0.5179,                0.43448,                0.86963,              0.0016109,              0.0016109,              0.0016109
                     20,                0.49663,                0.41225,                0.89412,                0.91826,                0.90493,                0.96454,                0.89781,                  0.443,                0.40359,                0.85457,              0.0016076,              0.0016076,              0.0016076
                     21,                0.46987,                0.40003,                0.88358,                0.92794,                0.90617,                 0.9644,                0.89287,                0.46138,                0.42239,                0.86267,              0.0016043,              0.0016043,              0.0016043
                     22,                0.48259,                0.40785,                0.88895,                0.92563,                0.90195,                0.96553,                0.90651,                 0.4121,                0.39712,                0.84659,               0.001601,               0.001601,               0.001601
                     23,                0.48375,                0.39646,                0.89021,                0.92242,                0.89498,                0.96455,                0.90842,                0.41985,                 0.4173,                0.84921,              0.0015977,              0.0015977,              0.0015977
                     24,                0.47463,                0.38817,                0.88643,                0.93452,                0.89394,                0.96367,                0.88214,                0.50035,                0.42813,                0.85954,              0.0015944,              0.0015944,              0.0015944
                     25,                0.47939,                0.39677,                0.88701,                0.92237,                0.90711,                 0.9661,                0.90052,                0.43231,                 0.4002,                0.84152,              0.0015911,              0.0015911,              0.0015911
                     26,                0.45472,                0.39039,                0.87888,                0.93815,                0.89483,                0.96422,                0.90187,                0.43138,                0.41362,                0.84384,              0.0015878,              0.0015878,              0.0015878
                     27,                0.46302,                0.39166,                0.87647,                0.92485,                0.90211,                0.96289,                0.89069,                0.46557,                 0.4675,                0.84985,              0.0015845,              0.0015845,              0.0015845
                     28,                0.48158,                0.39388,                0.88487,                 0.9113,                 0.9069,                0.96564,                0.88607,                0.49291,                0.39578,                0.86371,              0.0015812,              0.0015812,              0.0015812
                     29,                0.48722,                0.39286,                0.88736,                0.92852,                0.90146,                 0.9667,                0.91404,                0.39449,                0.37196,                0.83774,              0.0015779,              0.0015779,              0.0015779
                     30,                0.43442,                0.37028,                0.87052,                0.93519,                0.90461,                0.96916,                0.91957,                0.38792,                0.39083,                0.83109,              0.0015746,              0.0015746,              0.0015746
                     31,                0.44806,                0.38527,                0.87051,                0.93281,                0.90704,                0.96741,                0.90284,                0.43536,                0.42658,                0.84289,              0.0015713,              0.0015713,              0.0015713
                     32,                0.45109,                0.37785,                0.87223,                0.90871,                0.90974,                0.96623,                0.90218,                0.42548,                0.39874,                0.83906,               0.001568,               0.001568,               0.001568
                     33,                0.49535,                0.39537,                0.88849,                  0.922,                0.89844,                0.96648,                0.90377,                 0.4516,                0.39014,                0.85556,              0.0015647,              0.0015647,              0.0015647
                     34,                0.47845,                0.38207,                0.87932,                 0.9326,                0.90031,                0.96622,                0.91626,                0.41233,                0.38093,                0.84167,              0.0015614,              0.0015614,              0.0015614
                     35,                0.44829,                0.38079,                0.87127,                0.90979,                0.90286,                0.96417,                0.90225,                0.41372,                0.42664,                0.84777,              0.0015581,              0.0015581,              0.0015581
                     36,                0.44223,                0.37257,                0.87143,                0.93379,                 0.8965,                0.96533,                0.90677,                 0.3862,                 0.3761,                0.83685,              0.0015548,              0.0015548,              0.0015548
                     37,                0.45232,                0.37315,                0.87376,                0.84862,                0.87635,                0.93295,                 0.8777,                0.40524,                0.48355,                0.84371,              0.0015515,              0.0015515,              0.0015515
                     38,                0.46867,                0.46042,                 0.8778,                0.95243,                0.85734,                0.96054,                0.89929,                0.43065,                0.42188,                0.84633,              0.0015482,              0.0015482,              0.0015482
                     39,                0.46177,                0.42518,                0.87999,                0.87911,                0.86107,                0.93149,                0.82351,                0.48198,                0.57411,                 0.8828,              0.0015449,              0.0015449,              0.0015449
                     40,                0.47428,                0.41286,                 0.8784,                0.90548,                0.91422,                0.96745,                0.90987,                0.39556,                0.39573,                 0.8338,              0.0015416,              0.0015416,              0.0015416
                     41,                0.44959,                0.38684,                 0.8716,                0.92447,                0.90011,                0.96646,                0.91245,                0.40008,                0.39453,                0.82757,              0.0015383,              0.0015383,              0.0015383
                     42,                0.45645,                0.42196,                0.88054,                 0.9391,                0.88069,                0.96362,                0.89045,                0.46979,                0.42398,                0.85719,               0.001535,               0.001535,               0.001535
                     43,                0.46415,                0.39927,                0.88026,                0.92962,                0.90399,                0.96598,                0.91535,                0.39016,                 0.3902,                 0.8391,              0.0015317,              0.0015317,              0.0015317
                     44,                0.45274,                0.37451,                0.87409,                0.93448,                 0.8931,                0.96174,                0.90337,                0.39906,                 0.4131,                0.84098,              0.0015284,              0.0015284,              0.0015284
                     45,                0.44861,                0.37851,                0.87033,                0.92243,                0.90372,                0.96751,                0.91678,                0.37582,                0.40215,                0.82167,              0.0015251,              0.0015251,              0.0015251
                     46,                0.44757,                0.36866,                0.86689,                 0.9401,                0.88728,                0.96245,                0.89347,                0.45898,                0.40618,                0.84966,              0.0015218,              0.0015218,              0.0015218
                     47,                0.45115,                0.36589,                 0.8686,                0.92696,                0.90823,                0.96589,                0.90691,                0.39816,                0.38245,                0.82953,              0.0015185,              0.0015185,              0.0015185
                     48,                0.44271,                0.37232,                0.86754,                0.92098,                 0.9006,                0.96737,                0.91491,                0.39033,                 0.3705,                0.82982,              0.0015152,              0.0015152,              0.0015152
                     49,                0.45804,                0.37776,                0.86845,                0.92734,                0.90489,                0.96363,                0.88966,                0.46653,                 0.4076,                0.85124,              0.0015119,              0.0015119,              0.0015119
                     50,                0.44854,                 0.3705,                0.86884,                 0.9394,                0.89879,                0.96734,                0.91369,                0.39229,                0.37258,                0.83219,              0.0015086,              0.0015086,              0.0015086
                     51,                0.46002,                0.37302,                0.87156,                0.93249,                0.89943,                0.96693,                0.91698,                0.38373,                0.37816,                0.82922,              0.0015053,              0.0015053,              0.0015053
                     52,                0.42743,                0.35546,                0.86414,                0.92936,                0.90502,                0.96785,                0.91609,                0.39209,                0.37397,                0.82684,               0.001502,               0.001502,               0.001502
                     53,                0.43342,                0.36703,                0.86753,                0.93894,                 0.8935,                0.96053,                0.90616,                0.39744,                0.39773,                0.83898,              0.0014987,              0.0014987,              0.0014987
                     54,                0.43597,                0.37475,                0.87037,                0.94875,                0.87642,                 0.9611,                0.90273,                 0.4391,                0.40666,                0.84891,              0.0014954,              0.0014954,              0.0014954
                     55,                0.43637,                0.36834,                0.86596,                0.93844,                0.88826,                0.96337,                0.90392,                0.43046,                0.40581,                0.84809,              0.0014921,              0.0014921,              0.0014921
                     56,                0.42632,                0.34986,                0.86354,                0.92122,                0.90929,                0.96846,                0.91459,                0.39977,                 0.3766,                0.83803,              0.0014888,              0.0014888,              0.0014888
                     57,                0.43558,                0.35803,                0.86394,                  0.933,                0.89455,                0.96684,                 0.9075,                0.40794,                0.38103,                0.83571,              0.0014855,              0.0014855,              0.0014855
                     58,                0.44223,                0.37026,                0.87018,                0.93229,                0.89747,                0.96402,                0.91027,                0.39327,                0.39452,                0.82811,              0.0014822,              0.0014822,              0.0014822
                     59,                  0.437,                  0.367,                0.86973,                 0.9292,                0.90369,                0.96396,                0.91395,                0.36976,                0.38393,                0.82425,              0.0014789,              0.0014789,              0.0014789
                     60,                0.44011,                0.35889,                0.86413,                0.92461,                0.90532,                0.96427,                 0.8915,                0.43943,                0.39914,                0.84088,              0.0014756,              0.0014756,              0.0014756
                     61,                0.43579,                 0.3592,                 0.8648,                0.93874,                0.89762,                0.96441,                0.90787,                0.40922,                0.37448,                0.83461,              0.0014723,              0.0014723,              0.0014723
                     62,                0.44004,                 0.3623,                0.86843,                0.93247,                0.89345,                0.96501,                0.91078,                0.38238,                 0.3872,                0.82817,               0.001469,               0.001469,               0.001469
                     63,                0.43659,                0.35206,                 0.8683,                0.93935,                0.87338,                0.95998,                0.91345,                0.38064,                0.40218,                0.83597,              0.0014657,              0.0014657,              0.0014657
                     64,                0.42634,                0.35204,                0.86268,                0.93268,                0.89723,                0.96641,                 0.9203,                0.37086,                0.37429,                0.83103,              0.0014624,              0.0014624,              0.0014624
                     65,                 0.4196,                0.34081,                0.86328,                0.91177,                0.90708,                0.96577,                0.91374,                0.37928,                0.37957,                0.82699,              0.0014591,              0.0014591,              0.0014591
                     66,                0.42042,                0.34328,                0.86046,                0.92647,                0.90878,                0.96895,                0.91608,                0.38618,                0.35955,                0.82786,              0.0014558,              0.0014558,              0.0014558
                     67,                0.43547,                0.36072,                 0.8675,                0.93762,                0.88602,                0.96209,                0.91197,                0.36694,                0.37093,                0.83228,              0.0014525,              0.0014525,              0.0014525
                     68,                0.44676,                0.35624,                0.86991,                0.93711,                0.88128,                0.95785,                0.90906,                0.36447,                0.38145,                0.82603,              0.0014492,              0.0014492,              0.0014492
                     69,                 0.4338,                0.34837,                0.85982,                0.94527,                0.88844,                0.96552,                0.91524,                0.38709,                0.37911,                0.82677,              0.0014459,              0.0014459,              0.0014459
                     70,                0.43437,                0.35678,                0.85995,                0.92948,                0.90666,                0.96663,                0.91763,                0.36186,                0.39126,                0.82309,              0.0014426,              0.0014426,              0.0014426
                     71,                0.42157,                0.35252,                0.85886,                0.94595,                0.89111,                0.96759,                0.91353,                0.39028,                0.39078,                0.83613,              0.0014393,              0.0014393,              0.0014393
                     72,                0.42587,                0.36375,                0.85783,                0.93399,                0.90103,                0.96653,                0.91207,                0.38653,                0.39094,                0.83561,               0.001436,               0.001436,               0.001436
                     73,                0.42615,                0.34752,                0.86202,                 0.9321,                0.91092,                0.96575,                0.91191,                0.38656,                0.37568,                0.83018,              0.0014327,              0.0014327,              0.0014327
                     74,                0.43391,                0.35399,                0.85898,                0.91798,                0.90988,                0.96814,                0.91816,                0.36648,                0.37462,                0.82226,              0.0014294,              0.0014294,              0.0014294
                     75,                0.43568,                0.35497,                0.85911,                0.94376,                0.89842,                0.96564,                0.91466,                0.36535,                0.37012,                0.82138,              0.0014261,              0.0014261,              0.0014261
                     76,                0.45202,                0.36521,                0.86348,                0.93809,                0.89252,                0.96342,                0.91356,                0.39051,                0.37943,                0.82897,              0.0014228,              0.0014228,              0.0014228
                     77,                0.43186,                0.35406,                 0.8582,                0.93141,                0.90037,                0.96819,                 0.9219,                0.36234,                0.37913,                0.81621,              0.0014195,              0.0014195,              0.0014195
                     78,                0.41282,                0.33638,                0.85554,                0.92925,                 0.9077,                0.96808,                0.90666,                0.42484,                0.36791,                  0.839,              0.0014161,              0.0014161,              0.0014161
                     79,                0.41743,                0.35013,                0.85835,                0.93336,                0.89976,                0.96788,                0.91256,                0.39624,                0.36774,                0.83071,              0.0014128,              0.0014128,              0.0014128
                     80,                0.43079,                0.34728,                   0.86,                0.93071,                0.90216,                0.96806,                0.91841,                0.36719,                0.36541,                0.82726,              0.0014095,              0.0014095,              0.0014095
                     81,                 0.4175,                0.34485,                0.85564,                0.94533,                0.88605,                0.96669,                0.91564,                0.37984,                 0.3604,                 0.8243,              0.0014062,              0.0014062,              0.0014062
                     82,                0.41104,                0.33669,                0.85423,                0.91997,                0.90443,                0.96747,                0.91976,                0.36909,                0.37887,                0.82829,              0.0014029,              0.0014029,              0.0014029
                     83,                0.43223,                0.34975,                0.85949,                0.93986,                0.90178,                0.96189,                0.91521,                0.36309,                0.39745,                0.82397,              0.0013996,              0.0013996,              0.0013996
                     84,                0.42738,                 0.3472,                 0.8582,                0.94099,                 0.8981,                0.96635,                0.91421,                0.38218,                0.36956,                0.82776,              0.0013963,              0.0013963,              0.0013963
                     85,                0.43447,                0.34691,                0.85988,                0.93909,                0.90014,                0.96795,                0.91441,                0.38512,                 0.3809,                 0.8221,               0.001393,               0.001393,               0.001393
                     86,                 0.4253,                0.34345,                0.85891,                0.93701,                0.90006,                0.96885,                0.91733,                0.38035,                0.37655,                0.81569,              0.0013897,              0.0013897,              0.0013897
                     87,                0.41757,                0.33637,                0.85666,                0.92702,                0.90814,                0.96764,                0.91839,                0.38867,                0.36292,                0.82568,              0.0013864,              0.0013864,              0.0013864
                     88,                0.41829,                0.33757,                 0.8532,                0.94138,                0.89648,                 0.9674,                0.91945,                0.36353,                 0.3552,                0.81948,              0.0013831,              0.0013831,              0.0013831
                     89,                 0.4236,                0.34014,                0.85449,                0.93068,                0.89113,                0.96224,                0.91208,                0.37892,                 0.3791,                0.81959,              0.0013798,              0.0013798,              0.0013798
                     90,                0.42615,                0.33721,                0.85896,                0.93236,                0.89549,                 0.9647,                 0.9199,                0.37367,                0.38658,                0.82439,              0.0013765,              0.0013765,              0.0013765
                     91,                0.44585,                0.34558,                0.86943,                0.93037,                0.89279,                  0.966,                0.92067,                0.36171,                0.37653,                0.82874,              0.0013732,              0.0013732,              0.0013732
                     92,                0.43102,                0.33726,                0.86447,                0.93942,                 0.8877,                0.95473,                0.91214,                0.35587,                0.38739,                0.82838,              0.0013699,              0.0013699,              0.0013699
                     93,                0.40269,                0.32614,                0.84792,                0.94334,                0.89455,                0.96798,                0.92158,                0.35802,                0.35487,                0.81843,              0.0013666,              0.0013666,              0.0013666
                     94,                  0.412,                0.34886,                 0.8498,                0.93903,                0.89455,                0.96746,                0.91599,                0.37998,                0.38069,                0.82411,              0.0013633,              0.0013633,              0.0013633
                     95,                0.42452,                0.34875,                0.85599,                0.94118,                0.89949,                 0.9615,                0.91439,                0.37165,                0.41416,                0.81894,                0.00136,                0.00136,                0.00136
                     96,                0.42617,                0.34336,                0.85822,                0.93553,                0.89564,                0.95785,                0.90963,                0.37361,                0.37216,                0.81463,              0.0013567,              0.0013567,              0.0013567
                     97,                0.40259,                0.33656,                 0.8491,                0.92449,                0.90799,                 0.9637,                0.91437,                 0.3772,                0.37158,                0.81837,              0.0013534,              0.0013534,              0.0013534
                     98,                0.40559,                0.33452,                0.85004,                0.92923,                0.90396,                0.95763,                0.91423,                0.35865,                0.41647,                0.82211,              0.0013501,              0.0013501,              0.0013501
                     99,                0.41586,                0.34908,                0.85184,                0.93837,                0.89281,                0.96052,                0.91504,                0.36693,                0.38386,                 0.8268,              0.0013468,              0.0013468,              0.0013468
                    100,                0.42379,                0.35348,                0.85726,                0.92986,                0.89798,                  0.965,                0.91645,                0.37046,                0.36702,                0.82471,              0.0013435,              0.0013435,              0.0013435
                    101,                0.41373,                0.33792,                0.85296,                0.92079,                0.90048,                0.95975,                0.90349,                0.40994,                0.37277,                0.84205,              0.0013402,              0.0013402,              0.0013402
                    102,                0.42316,                0.33649,                0.85629,                0.94512,                0.88992,                0.96085,                0.90738,                0.40356,                0.38554,                0.83768,              0.0013369,              0.0013369,              0.0013369
                    103,                0.44177,                0.35174,                  0.863,                0.92644,                0.90661,                0.96636,                0.91766,                0.38409,                0.37576,                0.82316,              0.0013336,              0.0013336,              0.0013336
                    104,                0.43251,                0.33792,                0.86098,                0.93845,                0.87187,                0.94865,                 0.8946,                0.40339,                0.49529,                0.83723,              0.0013303,              0.0013303,              0.0013303
                    105,                0.42235,                0.33616,                0.85872,                 0.9181,                0.91055,                0.96505,                0.91801,                0.38216,                0.37949,                0.82747,               0.001327,               0.001327,               0.001327
                    106,                0.42732,                0.33754,                0.85798,                 0.9345,                  0.901,                0.96462,                0.91441,                0.39345,                0.36348,                0.83016,              0.0013237,              0.0013237,              0.0013237
                    107,                0.42641,                0.33519,                0.85859,                 0.9365,                 0.8959,                0.96872,                0.91692,                0.39701,                0.38308,                0.82982,              0.0013204,              0.0013204,              0.0013204
                    108,                0.43396,                0.33713,                0.85909,                0.94421,                0.89983,                  0.971,                0.91599,                0.38823,                0.35034,                0.82822,              0.0013171,              0.0013171,              0.0013171
                    109,                0.40881,                 0.3274,                0.85078,                0.92526,                0.90923,                0.96686,                0.91933,                 0.3758,                0.37154,                0.82994,              0.0013138,              0.0013138,              0.0013138
                    110,                0.40322,                0.32708,                0.84828,                 0.9254,                0.89983,                0.96424,                0.91228,                0.38252,                0.35306,                0.83375,              0.0013105,              0.0013105,              0.0013105
                    111,                0.41093,                0.33189,                0.85122,                0.94523,                0.88782,                0.95882,                  0.903,                0.39624,                0.37381,                 0.8378,              0.0013072,              0.0013072,              0.0013072
                    112,                0.40623,                 0.3255,                0.85099,                 0.9389,                0.90065,                0.96434,                0.91009,                0.38439,                0.36705,                 0.8295,              0.0013039,              0.0013039,              0.0013039
                    113,                0.41927,                0.34031,                 0.8544,                0.92237,                0.90996,                0.96194,                  0.912,                0.38452,                0.37171,                0.83265,              0.0013006,              0.0013006,              0.0013006
                    114,                0.41182,                0.33455,                0.85349,                0.93526,                0.91286,                0.96406,                0.90881,                0.38927,                0.37387,                 0.8396,              0.0012973,              0.0012973,              0.0012973
                    115,                0.41104,                  0.331,                0.85199,                0.93549,                0.90084,                 0.9582,                0.90578,                0.37885,                 0.4218,                0.83497,               0.001294,               0.001294,               0.001294
                    116,                0.42591,                0.34546,                0.86047,                0.93971,                0.89476,                0.96331,                0.91191,                0.37075,                 0.4206,                0.83829,              0.0012907,              0.0012907,              0.0012907
                    117,                0.42635,                0.33958,                0.86026,                0.94525,                0.89663,                0.95992,                0.90549,                0.39316,                0.40255,                0.84292,              0.0012874,              0.0012874,              0.0012874
                    118,                0.40346,                0.32834,                0.85278,                0.93914,                0.90101,                0.96407,                0.91084,                0.39475,                0.37256,                0.83739,              0.0012841,              0.0012841,              0.0012841
                    119,                0.39607,                0.31554,                0.85064,                0.93133,                0.91476,                0.96358,                0.90761,                0.39297,                0.37305,                0.83245,              0.0012808,              0.0012808,              0.0012808
                    120,                0.41103,                0.32324,                0.84937,                0.93325,                0.90406,                0.96312,                0.91526,                0.36649,                0.37325,                0.82511,              0.0012775,              0.0012775,              0.0012775
                    121,                0.42204,                0.32784,                0.85567,                0.90912,                0.92206,                0.96627,                0.91947,                0.36341,                0.35853,                0.82738,              0.0012742,              0.0012742,              0.0012742
                    122,                 0.4261,                0.32813,                0.85613,                 0.9298,                0.89961,                0.96676,                0.90708,                0.41051,                0.39712,                0.83475,              0.0012709,              0.0012709,              0.0012709
                    123,                0.42576,                  0.336,                0.85736,                0.93716,                0.90645,                0.96597,                0.91317,                0.38366,                0.37751,                0.83177,              0.0012676,              0.0012676,              0.0012676
                    124,                0.41328,                0.33569,                0.85177,                0.91361,                0.90786,                 0.9613,                0.91394,                 0.3677,                0.39108,                0.82777,              0.0012643,              0.0012643,              0.0012643
                    125,                0.40458,                0.33201,                 0.8524,                0.91818,                0.91737,                0.96793,                0.91884,                0.37159,                0.34573,                0.82659,               0.001261,               0.001261,               0.001261
                    126,                0.40496,                 0.3267,                0.84779,                0.93243,                0.90617,                0.96707,                0.91881,                0.36462,                0.35552,                0.81809,              0.0012577,              0.0012577,              0.0012577
                    127,                0.40437,                0.32436,                0.84946,                0.92188,                0.91018,                0.96296,                0.90391,                0.41229,                0.37292,                0.83596,              0.0012544,              0.0012544,              0.0012544
                    128,                0.42068,                0.34252,                0.85359,                0.91435,                0.91689,                0.96777,                0.91429,                0.39417,                0.35012,                 0.8333,              0.0012511,              0.0012511,              0.0012511
                    129,                0.41889,                0.32325,                 0.8532,                0.91761,                0.91819,                0.96637,                 0.9115,                0.38253,                0.38965,                0.83826,              0.0012478,              0.0012478,              0.0012478
