                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81582,                 1.8795,                  1.019,                0.38895,                0.83787,                0.35617,                0.28154,                0.79147,                    inf,                0.90955,             0.00040008,             0.00040008,             0.00040008
                      2,                0.66682,                0.59257,                0.89955,                0.10294,                0.00285,                0.05375,                0.03727,                    nan,                    nan,                    nan,             0.00081521,             0.00081521,             0.00081521
                      3,                0.76316,                0.55915,                 0.9345,                0.10294,                0.00285,                0.05375,                0.03727,                    nan,                    nan,                    nan,              0.0012287,              0.0012287,              0.0012287
                      4,                0.79296,                0.60808,                0.94602,                0.01041,                0.01017,                 0.0048,                 0.0017,                    nan,                    nan,                    nan,              0.0016405,              0.0016405,              0.0016405
                      5,                0.79147,                0.57898,                0.95324,                0.00204,                0.02292,                0.00108,                0.00042,                    nan,                    nan,                    nan,              0.0016538,              0.0016538,              0.0016538
                      6,                0.73291,                0.53671,                0.92913,                0.26338,                0.15419,                0.10462,                 0.0751,                 2.4937,                    inf,                 2.8341,              0.0016538,              0.0016538,              0.0016538
                      7,                 0.6961,                0.48813,                0.91641,                0.28528,                0.31606,                0.15324,                0.12168,                 1.7308,                  4.356,                 1.8603,              0.0016505,              0.0016505,              0.0016505
                      8,                0.68345,                0.52119,                0.90825,                0.47461,                0.54613,                0.40068,                0.31701,                0.85302,                 1.5558,                0.99074,              0.0016472,              0.0016472,              0.0016472
                      9,                0.73734,                0.49705,                0.91614,                0.71404,                0.80696,                0.87399,                0.77002,                0.61434,                0.78912,                0.85532,              0.0016439,              0.0016439,              0.0016439
                     10,                0.68091,                0.47055,                0.90659,                0.91489,                0.83804,                0.94476,                0.82866,                0.62141,                0.47193,                  0.859,              0.0016406,              0.0016406,              0.0016406
                     11,                0.66864,                0.45257,                0.89465,                0.91532,                0.86912,                0.94772,                0.85673,                0.55094,                0.46397,                0.83656,              0.0016373,              0.0016373,              0.0016373
                     12,                0.68878,                0.43352,                0.89505,                0.88779,                0.74283,                0.87762,                0.76937,                0.64749,                0.69138,                0.87507,               0.001634,               0.001634,               0.001634
                     13,                0.64782,                0.42327,                0.88787,                0.91379,                0.80123,                0.88787,                0.79208,                0.62146,                0.58607,                0.87737,              0.0016307,              0.0016307,              0.0016307
                     14,                0.69434,                0.51436,                0.90358,                0.77987,                0.70685,                0.77566,                0.67986,                0.72287,                0.78097,                0.90758,              0.0016274,              0.0016274,              0.0016274
                     15,                0.68331,                0.46801,                0.89602,                0.89404,                 0.8386,                0.92499,                0.79207,                 0.7159,                0.67026,                0.87834,              0.0016241,              0.0016241,              0.0016241
                     16,                0.63845,                0.41556,                0.88611,                  0.893,                0.88233,                0.94607,                 0.8217,                0.67107,                0.54518,                0.86878,              0.0016208,              0.0016208,              0.0016208
                     17,                0.64055,                0.42603,                0.88473,                 0.9191,                0.88754,                0.96303,                0.84464,                0.65532,                0.49923,                0.85067,              0.0016175,              0.0016175,              0.0016175
                     18,                0.64606,                0.40767,                0.89074,                0.91889,                0.89384,                0.96109,                0.85933,                0.58958,                0.42471,                0.84692,              0.0016142,              0.0016142,              0.0016142
                     19,                0.62412,                0.39915,                0.88233,                0.91349,                0.88733,                0.94592,                0.87153,                0.49594,                0.39981,                0.82884,              0.0016109,              0.0016109,              0.0016109
                     20,                0.62551,                0.41654,                0.88367,                0.92213,                0.89535,                0.96029,                0.87443,                  0.519,                0.38828,                0.83244,              0.0016076,              0.0016076,              0.0016076
                     21,                0.61548,                 0.4349,                0.87837,                0.88633,                0.87415,                 0.9327,                0.83613,                0.55172,                0.44846,                0.84124,              0.0016043,              0.0016043,              0.0016043
                     22,                0.64485,                0.44137,                0.88407,                0.82201,                0.89199,                 0.9158,                0.81667,                0.59551,                0.57965,                0.84392,               0.001601,               0.001601,               0.001601
                     23,                 0.6082,                0.41972,                 0.8732,                0.92679,                0.85789,                0.95157,                0.87561,                0.50053,                0.48043,                0.82263,              0.0015977,              0.0015977,              0.0015977
                     24,                 0.6101,                0.39877,                0.87225,                0.91479,                0.89531,                0.96047,                0.87854,                0.50607,                0.39013,                0.82368,              0.0015944,              0.0015944,              0.0015944
                     25,                 0.6133,                0.38435,                0.87184,                0.91157,                0.90695,                0.96203,                0.88883,                0.48222,                 0.4105,                0.82485,              0.0015911,              0.0015911,              0.0015911
