                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5449,                0.89177,                0.98166,                0.90604,                0.89246,                0.85138,                 0.9475,                 0.8458,                0.89246,                0.85138,                0.94743,                0.81999,                0.54517,                0.82945,                0.84616,                0.86604,             0.00055075,             0.00055075,             0.00055075
                      2,                0.54353,                 1.0949,                0.71743,                0.90162,                0.78927,                0.73587,                0.83975,                 0.7492,                0.78952,                0.73564,                0.84052,                0.62693,                0.54309,                 1.5785,                 1.1715,                0.91701,              0.0011042,              0.0011042,              0.0011042
                      3,                0.68882,                 1.5339,                0.86327,                0.96176,                0.80529,                0.83038,                0.91152,                0.76092,                0.70969,                0.73075,                0.76688,                0.46692,                 0.6864,                 4.9091,                 1.0817,                0.93021,              0.0016555,              0.0016555,              0.0016555
                      4,                0.77655,                 1.6672,                0.94445,                0.99092,                0.34159,                0.69564,                0.55227,                0.44811,                0.34116,                0.69442,                0.54992,                0.39193,                0.70892,                 1.9527,                 3.0189,                0.99339,              0.0016571,              0.0016571,              0.0016571
                      5,                0.73704,                 1.3682,                0.86639,                0.98588,                0.57773,                0.62934,                 0.5441,                0.42096,                0.57936,                0.64875,                0.55686,                0.38945,                0.83707,                 1.9988,                 1.7227,                 1.0677,              0.0016571,              0.0016571,              0.0016571
                      6,                 0.6322,                 1.1464,                0.69741,                0.94534,                 0.8444,                0.85961,                0.93836,                0.82346,                0.84783,                0.85712,                0.93891,                 0.7576,                0.57009,                 1.0342,                0.82283,                 0.8968,              0.0016538,              0.0016538,              0.0016538
                      7,                0.61576,                0.97921,                0.60667,                0.92508,                0.91449,                0.89219,                0.94791,                0.86036,                0.91531,                  0.893,                0.94926,                0.82955,                0.51786,                0.72916,                0.67555,                0.87109,              0.0016505,              0.0016505,              0.0016505
                      8,                 0.5407,                0.85393,                0.60468,                0.90399,                0.89567,                0.90118,                0.95729,                0.85786,                0.89526,                0.90077,                 0.9559,                0.81259,                0.56137,                0.87053,                0.54398,                0.89086,              0.0016472,              0.0016472,              0.0016472
                      9,                0.55127,                0.84738,                0.57813,                0.90777,                0.90521,                0.88577,                0.95192,                0.87079,                0.91167,                0.88114,                0.95227,                0.84301,                0.49296,                0.70969,                0.51724,                0.86291,              0.0016439,              0.0016439,              0.0016439
                     10,                0.53481,                0.80202,                0.51506,                0.90438,                 0.9117,                0.88873,                0.96174,                0.88782,                0.91373,                0.88867,                0.96378,                0.87013,                0.46627,                 0.6795,                0.49233,                 0.8542,              0.0016406,              0.0016406,              0.0016406
                     11,                 0.5567,                0.76772,                0.50585,                0.90095,                0.91472,                0.88565,                0.96084,                0.86129,                0.91393,                0.88483,                0.95948,                0.85395,                0.53888,                0.67422,                0.49275,                0.87083,              0.0016373,              0.0016373,              0.0016373
                     12,                0.53338,                0.77386,                0.54607,                0.90014,                0.90467,                0.89762,                0.96051,                0.88754,                0.90425,                0.89742,                0.95966,                 0.8683,                0.49933,                 0.6695,                0.50979,                0.85935,               0.001634,               0.001634,               0.001634
                     13,                0.52873,                0.74859,                0.53473,                0.89678,                0.94922,                0.86551,                0.94404,                0.87339,                  0.949,                0.86461,                0.94418,                0.86156,                0.49891,                 0.6533,                0.51929,                0.85949,              0.0016307,              0.0016307,              0.0016307
                     14,                0.50063,                0.73111,                0.50322,                0.88614,                0.92656,                0.88617,                0.95569,                0.88883,                0.92656,                0.88617,                 0.9559,                0.87139,                0.48003,                0.66379,                0.47157,                0.85507,              0.0016274,              0.0016274,              0.0016274
                     15,                0.51569,                0.72477,                0.47625,                0.88555,                0.91084,                0.89202,                0.95407,                0.88342,                0.91084,                0.89202,                0.95393,                 0.8723,                0.48165,                 0.6542,                0.47395,                0.85264,              0.0016241,              0.0016241,              0.0016241
                     16,                 0.4919,                0.67302,                0.45118,                 0.8824,                0.93694,                0.87723,                0.96044,                0.89699,                0.93647,                0.87682,                0.95984,                0.88381,                 0.4514,                0.58398,                0.45382,                0.85185,              0.0016208,              0.0016208,              0.0016208
                     17,                0.49297,                0.68108,                0.45281,                0.88277,                0.92871,                0.89866,                0.96329,                0.90699,                0.92885,                0.90093,                0.96338,                0.88867,                0.42365,                0.55595,                0.42397,                0.84253,              0.0016175,              0.0016175,              0.0016175
                     18,                0.47304,                0.66426,                0.44568,                0.87569,                0.92596,                 0.8959,                0.95792,                0.89138,                 0.9264,                 0.8963,                0.95862,                0.88272,                0.43481,                0.55737,                0.45496,                0.83562,              0.0016142,              0.0016142,              0.0016142
                     19,                0.48068,                 0.6707,                0.43237,                 0.8819,                 0.9303,                0.89387,                0.96191,                0.89517,                0.92986,                0.89346,                0.96146,                0.88631,                0.46195,                0.57138,                0.43226,                0.84852,              0.0016109,              0.0016109,              0.0016109
                     20,                0.50825,                0.68182,                0.43365,                0.88336,                0.93849,                  0.893,                0.96142,                0.89449,                0.93815,                  0.893,                0.96159,                0.87928,                0.44351,                0.63244,                0.41376,                0.84657,              0.0016076,              0.0016076,              0.0016076
                     21,                0.49296,                0.67671,                 0.4445,                 0.8764,                0.93671,                0.89194,                0.96279,                0.89118,                0.93671,                0.89194,                0.96408,                0.89039,                0.48163,                0.56815,                0.44038,                0.85571,              0.0016043,              0.0016043,              0.0016043
                     22,                0.47635,                0.66282,                0.46725,                0.87536,                0.93633,                 0.8914,                0.96707,                0.89669,                 0.9348,                0.89283,                0.96755,                0.88191,                0.45371,                0.58238,                0.44709,                0.84939,               0.001601,               0.001601,               0.001601
