                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83884,                 1.6252,                 1.9816,                 1.0319,                0.90294,                0.62509,                0.80509,                0.69264,                 0.9001,                0.62323,                0.80226,                0.64336,                0.63662,                0.88762,                    inf,                0.85614,             0.00023338,             0.00023338,             0.00023338
                      2,                0.68584,                0.95016,                0.59436,                 0.8883,                 0.3824,                0.85537,                0.49135,                0.38551,                0.38019,                0.85148,                 0.4863,                0.33379,                0.70854,                 1.3405,                    inf,                0.88306,             0.00048247,             0.00048247,             0.00048247
                      3,                 0.6546,                0.90628,                0.56104,                  0.882,                0.55844,                0.78607,                 0.7502,                0.61976,                 0.5588,                0.78195,                0.74526,                 0.5144,                0.61227,                 1.1762,                 2.3493,                0.85245,             0.00073058,             0.00073058,             0.00073058
                      4,                0.68849,                0.98191,                 0.5314,                0.88549,                 0.7002,                0.66671,                0.82986,                0.71211,                0.69953,                0.66691,                0.82872,                0.61437,                0.63823,                 1.0815,                 1.7639,                 0.8515,             0.00097769,             0.00097769,             0.00097769
                      5,                0.67941,                0.96553,                 0.5095,                0.88296,                  0.481,                 0.8582,                0.49617,                0.40221,                0.47343,                0.80412,                0.48392,                0.30762,                0.67524,                 4.5736,                    inf,                0.86627,              0.0012238,              0.0012238,              0.0012238
                      6,                0.67352,                 1.1736,                0.53527,                0.89001,                0.76033,                0.74779,                0.80199,                0.64343,                0.74688,                0.73571,                0.77927,                0.49098,                 0.6884,                 3.2941,                0.84735,                0.90169,              0.0014689,              0.0014689,              0.0014689
                      7,                0.68542,                 1.0777,                0.52709,                 0.8915,                0.28475,                0.04671,                0.15182,                0.11932,                0.27663,                0.02859,                 0.1471,                0.10536,                 2.8476,                 46.106,                    inf,                 4.1344,              0.0016472,              0.0016472,              0.0016472
                      8,                0.69138,                 1.0066,                 0.5321,                0.89034,                0.27948,                0.15032,                0.15587,                0.11495,                0.28051,                0.14951,                0.15364,                0.10333,                 1.9387,                 11.068,                 3.0204,                 1.7325,              0.0016472,              0.0016472,              0.0016472
                      9,                0.73266,                 1.0291,                0.54992,                0.90542,                0.78964,                 0.7422,                0.85311,                0.72078,                 0.7842,                0.73618,                0.84471,                0.63698,                0.65138,                 1.5474,                 1.1779,                0.88035,              0.0016439,              0.0016439,              0.0016439
                     10,                 0.6829,                0.95045,                0.56188,                0.88657,                0.87677,                0.78319,                0.88633,                0.75655,                0.87751,                  0.778,                0.87591,                0.65555,                0.65974,                 1.4605,                 0.8878,                0.87286,              0.0016406,              0.0016406,              0.0016406
