                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69304,                 1.3112,                 1.9782,                0.93251,                0.82281,                0.70179,                0.81679,                0.71427,                0.82281,                0.70179,                0.81632,                0.66637,                0.69013,                 1.0664,                 1.5127,                0.84887,             0.00054274,             0.00054274,             0.00054274
                      2,                0.58633,                0.87962,                0.89502,                0.86726,                0.88954,                0.83239,                0.91126,                0.82906,                0.88854,                0.83135,                0.91038,                0.78477,                0.57883,                 0.8995,                0.94402,                0.83448,              0.0010962,              0.0010962,              0.0010962
                      3,                0.56413,                 0.8396,                0.79576,                0.86532,                  0.903,                0.81714,                0.91367,                0.80765,                0.90252,                0.81673,                0.91162,                0.78455,                0.60728,                0.87929,                0.86099,                0.84375,              0.0016475,              0.0016475,              0.0016475
                      4,                0.59869,                0.86943,                0.77682,                0.87481,                0.87294,                0.86912,                0.93004,                0.81609,                0.87198,                0.86808,                0.92932,                0.81542,                0.62333,                0.76977,                0.80866,                0.85647,              0.0016571,              0.0016571,              0.0016571
                      5,                0.57616,                0.79528,                 0.7523,                0.86787,                 0.9327,                0.89083,                0.94848,                 0.8506,                0.93154,                0.89124,                0.94822,                0.85206,                0.56666,                0.70178,                 0.7563,                0.84297,              0.0016571,              0.0016571,              0.0016571
                      6,                0.55224,                0.76744,                0.68876,                0.86077,                0.89134,                0.87038,                0.93237,                0.85867,                0.89134,                0.87038,                0.93329,                0.83759,                0.50229,                0.72125,                0.76584,                0.83356,              0.0016538,              0.0016538,              0.0016538
                      7,                0.52939,                0.73674,                0.66253,                 0.8586,                0.89943,                 0.9056,                0.94934,                0.87187,                0.89871,                0.90497,                0.94962,                0.85892,                0.50038,                0.66052,                0.67393,                0.83214,              0.0016505,              0.0016505,              0.0016505
                      8,                0.53735,                0.74005,                0.64719,                0.85558,                0.91691,                0.87581,                0.94898,                0.87792,                0.91614,                0.87639,                0.94958,                0.85388,                0.48071,                0.68468,                0.64504,                0.82926,              0.0016472,              0.0016472,              0.0016472
                      9,                0.52457,                0.73578,                0.62822,                 0.8585,                0.92024,                0.89895,                0.95863,                0.85084,                0.91864,                0.89727,                0.95899,                 0.8511,                0.64039,                0.72791,                0.63839,                0.85565,              0.0016439,              0.0016439,              0.0016439
                     10,                0.56253,                0.73783,                0.62996,                0.86381,                0.93451,                0.89304,                0.95112,                0.85882,                0.93494,                0.89345,                0.95159,                0.85566,                0.57265,                0.68661,                0.66242,                0.84815,              0.0016406,              0.0016406,              0.0016406
                     11,                0.52224,                0.70264,                 0.5975,                 0.8554,                0.88895,                0.88111,                0.94312,                 0.8685,                0.88952,                0.88201,                0.94167,                0.85582,                 0.4908,                0.63574,                0.75064,                0.82965,              0.0016373,              0.0016373,              0.0016373
                     12,                0.50211,                0.67833,                0.57886,                0.85013,                0.91012,                0.89994,                 0.9509,                0.88681,                0.90968,                0.89953,                0.95078,                0.87202,                0.46015,                0.63065,                0.60408,                0.81949,               0.001634,               0.001634,               0.001634
                     13,                0.49817,                0.69522,                0.56213,                0.84948,                0.92645,                 0.9035,                0.95527,                  0.883,                0.92694,                0.90493,                 0.9558,                0.86818,                0.49499,                0.65469,                0.62985,                0.82975,              0.0016307,              0.0016307,              0.0016307
