                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65435,                 1.2519,                 1.3653,                0.94603,                 0.8421,                0.88501,                0.93727,                0.84934,                0.84257,                0.88397,                0.93723,                 0.7923,                0.55139,                0.88479,                 1.1778,                0.85939,             0.00053932,             0.00053932,             0.00053932
                      2,                0.55341,                  0.837,                0.62744,                 0.8672,                0.77028,                0.82552,                0.86062,                0.75117,                0.76803,                0.82583,                0.85086,                0.69056,                0.55545,                 1.1924,                  1.254,                0.84969,              0.0010928,              0.0010928,              0.0010928
                      3,                0.53935,                0.79338,                0.59362,                0.86992,                0.80447,                0.86101,                0.87601,                0.78404,                0.80773,                0.85092,                0.86681,                0.72284,                0.52206,                 1.0636,                0.92534,                0.84133,              0.0016441,              0.0016441,              0.0016441
                      4,                0.56959,                0.87671,                0.59264,                0.87512,                 0.7925,                0.84873,                0.89841,                0.80097,                0.79389,                0.84741,                0.89781,                 0.7301,                0.50692,                 1.1025,                0.80936,                0.84938,              0.0016571,              0.0016571,              0.0016571
                      5,                0.52885,                0.78979,                 0.5813,                0.86726,                0.89449,                0.84384,                 0.9332,                0.81707,                0.89697,                0.84353,                0.93089,                0.77643,                0.55361,                0.92539,                0.66363,                0.85911,              0.0016571,              0.0016571,              0.0016571
                      6,                0.53654,                0.77739,                0.54871,                0.87108,                0.92133,                0.85726,                0.94599,                0.83474,                0.92133,                0.85726,                0.94679,                0.77204,                 0.5837,                0.97512,                0.63813,                0.87195,              0.0016538,              0.0016538,              0.0016538
                      7,                0.54051,                0.73149,                0.51446,                0.87075,                0.90738,                0.89383,                0.95467,                0.85145,                0.90845,                0.89487,                0.95386,                0.85069,                0.52077,                0.70581,                0.57652,                 0.8431,              0.0016505,              0.0016505,              0.0016505
                      8,                 0.5256,                0.70616,                0.54889,                0.86465,                 0.9199,                0.88367,                 0.9548,                0.86632,                0.91965,                0.88367,                0.95441,                 0.8515,                0.49303,                0.69222,                 0.5986,                 0.8358,              0.0016472,              0.0016472,              0.0016472
                      9,                0.54343,                0.76254,                0.51556,                0.87044,                0.91628,                0.89716,                0.96166,                0.87304,                 0.9167,                0.89756,                0.96242,                0.82047,                0.51057,                0.81327,                 0.5694,                0.84491,              0.0016439,              0.0016439,              0.0016439
                     10,                0.54208,                0.71328,                0.50353,                0.86655,                0.92898,                 0.8992,                0.96294,                0.86653,                0.92856,                0.89879,                0.96248,                0.85462,                0.52219,                0.70298,                 0.6158,                0.83701,              0.0016406,              0.0016406,              0.0016406
                     11,                0.52585,                0.70706,                0.49534,                0.86177,                0.90553,                0.88915,                0.95493,                0.87235,                0.90742,                0.88891,                0.95504,                0.85445,                 0.4746,                 0.6551,                0.51409,                0.83152,              0.0016373,              0.0016373,              0.0016373
                     12,                0.51053,                0.69567,                0.48739,                0.85779,                0.91232,                0.89996,                0.95557,                 0.8838,                0.91272,                0.90037,                0.95505,                0.86038,                0.46047,                0.67727,                0.54068,                0.83193,               0.001634,               0.001634,               0.001634
                     13,                0.49708,                0.66214,                 0.4727,                0.85186,                0.92451,                0.90218,                0.96458,                0.88703,                0.92494,                0.90258,                0.96445,                0.86945,                0.46547,                0.70862,                0.49297,                0.82875,              0.0016307,              0.0016307,              0.0016307
                     14,                 0.4784,                0.66407,                0.45152,                0.85212,                0.89351,                0.88035,                0.95039,                0.87498,                0.89258,                0.88046,                0.95074,                0.86017,                0.46894,                0.64502,                 0.4903,                0.82631,              0.0016274,              0.0016274,              0.0016274
                     15,                0.48544,                0.64048,                0.44813,                0.84959,                0.92879,                0.90276,                0.96608,                0.89178,                0.92933,                0.90149,                 0.9664,                0.89369,                 0.4546,                0.62254,                0.45095,                0.82118,              0.0016241,              0.0016241,              0.0016241
                     16,                0.49793,                0.68105,                 0.4516,                 0.8537,                0.92391,                0.90568,                0.96491,                0.89421,                0.92434,                0.90608,                 0.9656,                0.88584,                0.44785,                0.65271,                0.47979,                 0.8299,              0.0016208,              0.0016208,              0.0016208
                     17,                 0.4886,                0.65197,                0.44415,                0.85014,                0.92912,                0.89777,                0.96352,                0.86908,                0.93423,                0.89438,                0.96418,                0.86744,                0.53488,                0.63456,                0.45444,                0.84225,              0.0016175,              0.0016175,              0.0016175
                     18,                0.48792,                0.64483,                0.44287,                0.85193,                0.91856,                0.90969,                0.96378,                 0.9013,                0.91856,                0.90969,                0.96351,                0.88344,                0.42642,                0.61755,                0.45162,                0.82028,              0.0016142,              0.0016142,              0.0016142
                     19,                0.47159,                0.63113,                 0.4307,                 0.8459,                0.92708,                0.91069,                0.96797,                0.90552,                0.92666,                0.90975,                0.96813,                 0.8957,                0.42808,                0.57623,                0.44706,                0.82095,              0.0016109,              0.0016109,              0.0016109
                     20,                0.47559,                0.62059,                0.42226,                0.84821,                0.93559,                0.89094,                0.96188,                0.88821,                0.93559,                0.89094,                0.96164,                0.87348,                0.46422,                0.60271,                0.48014,                0.82596,              0.0016076,              0.0016076,              0.0016076
