                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7356,                 1.2694,                 1.4031,                0.94324,                0.19733,                0.67785,                0.22034,                 0.1707,                0.18968,                0.61209,                0.21177,                0.14032,                   1.09,                 6.2934,                    inf,                 1.1533,              0.0005001,              0.0005001,              0.0005001
                      2,                0.69988,                 1.0569,                0.60253,                 0.8987,                0.08009,                0.34124,                0.06397,                0.05102,                0.07743,                0.32441,                0.06151,                0.04682,                 1.9349,                    nan,                    inf,                 4.5366,              0.0010149,              0.0010149,              0.0010149
                      3,                0.74849,                 1.3206,                0.62262,                0.91773,                0.03143,                 0.1471,                0.01763,                0.01118,                0.02657,                0.12422,                0.01462,                0.00732,                 2.2788,                    nan,                    inf,                 135.38,              0.0015276,              0.0015276,              0.0015276
                      4,                  0.777,                 1.3408,                0.62875,                0.92417,                0.65556,                0.64974,                 0.6338,                 0.4839,                 0.6523,                0.64452,                0.62822,                0.44319,                0.86555,                 2.3443,                 1.6586,                0.97226,              0.0016571,              0.0016571,              0.0016571
                      5,                0.74175,                  1.209,                0.57021,                0.91241,                0.85139,                  0.855,                0.93072,                0.79944,                0.85135,                0.85331,                0.92737,                0.66546,                0.62915,                 1.6004,                0.81049,                0.86397,              0.0016571,              0.0016571,              0.0016571
                      6,                0.79299,                 1.1605,                0.56616,                0.92799,                0.87106,                 0.7864,                 0.8831,                0.75127,                0.87094,                 0.7857,                0.87778,                0.67444,                0.68246,                 1.2913,                0.66928,                0.88053,              0.0016538,              0.0016538,              0.0016538
                      7,                 0.7042,                  1.057,                0.53531,                0.90084,                0.87584,                 0.8443,                0.93614,                0.81628,                0.87975,                 0.8418,                0.93695,                0.77655,                0.60865,                0.87134,                0.57965,                0.85768,              0.0016505,              0.0016505,              0.0016505
                      8,                0.66619,                 0.9575,                0.51788,                0.89383,                0.92248,                0.86257,                0.95553,                0.85325,                0.92163,                0.86176,                0.95363,                0.76542,                0.54742,                0.89124,                0.51607,                0.84544,              0.0016472,              0.0016472,              0.0016472
                      9,                0.65292,                0.93692,                0.49648,                0.88419,                0.92442,                0.86266,                0.95728,                0.84766,                0.91922,                0.86867,                0.95658,                0.78299,                0.56057,                0.73821,                0.58727,                0.83929,              0.0016439,              0.0016439,              0.0016439
                     10,                0.66138,                0.92932,                0.48832,                 0.8841,                0.92653,                0.89172,                0.96162,                 0.8655,                0.92913,                0.88719,                 0.9596,                0.80136,                 0.5457,                0.79018,                0.47357,                0.83745,              0.0016406,              0.0016406,              0.0016406
