                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62989,                 1.1863,                 1.7569,                  1.006,                0.87192,                0.88561,                0.94624,                0.87634,                0.87229,                0.88602,                0.94735,                0.84073,                0.43089,                  0.646,                0.84364,                0.83306,                 0.0024,                 0.0024,                 0.0024
                      2,                0.41019,                0.53147,                 0.5492,                0.84465,                0.82289,                0.89396,                0.89099,                0.81191,                0.82232,                0.89333,                0.89149,                0.77713,                0.44647,                0.54811,                0.77692,                0.82938,              0.0048995,              0.0048995,              0.0048995
                      3,                0.46187,                0.58393,                0.52726,                0.85619,                 0.8793,                0.91918,                0.95314,                0.88333,                0.88004,                0.91999,                0.95487,                0.86991,                0.41634,                0.51854,                0.83154,                0.82071,              0.0073985,              0.0073985,              0.0073985
                      4,                0.55892,                 0.5956,                0.49296,                0.87197,                0.89351,                0.88935,                0.94711,                0.86527,                0.89351,                0.88935,                0.94772,                0.82683,                0.45634,                0.54598,                0.63465,                0.83895,              0.0098971,              0.0098971,              0.0098971
                      5,                0.51366,                0.60913,                  0.535,                0.86648,                0.89844,                0.91694,                0.96278,                0.89788,                0.86605,                0.88499,                0.89035,                0.63336,                0.40436,                 2.3965,                0.72674,                0.82142,               0.009996,               0.009996,               0.009996
                      6,                 0.4888,                0.79074,                0.49367,                 0.8561,                0.84609,                0.92738,                0.91191,                0.83541,                0.84575,                0.92698,                 0.9121,                0.78732,                0.41629,                0.62828,                0.90308,                 0.8275,               0.009996,               0.009996,               0.009996
                      7,                0.54358,                0.57116,                0.45378,                0.86783,                0.85477,                0.91894,                0.93513,                0.85476,                0.85686,                 0.9212,                  0.937,                0.85045,                0.45773,                0.62223,                0.76191,                0.84339,              0.0099951,              0.0099951,              0.0099951
                      8,                0.48672,                0.53593,                0.44805,                0.86586,                0.90877,                0.91045,                0.96398,                0.87527,                0.90877,                0.91045,                0.96339,                0.84486,                0.50542,                0.57491,                0.54155,                0.84784,              0.0099941,              0.0099941,              0.0099941
                      9,                0.49153,                0.55304,                0.39578,                0.86194,                0.89688,                0.91522,                0.95794,                0.87931,                0.89769,                0.91603,                0.95833,                0.85871,                0.43948,                0.50696,                0.68635,                 0.8384,              0.0099931,              0.0099931,              0.0099931
                     10,                0.46681,                0.51303,                0.41424,                0.86674,                 0.9324,                0.90083,                0.96704,                0.90327,                0.93017,                0.90252,                0.96745,                 0.8837,                0.41445,                0.50518,                0.45791,                0.82657,              0.0099921,              0.0099921,              0.0099921
                     11,                0.46878,                0.50186,                0.39085,                0.84874,                0.91154,                0.90935,                0.96493,                0.89055,                 0.9119,                0.91468,                0.96536,                0.87083,                0.45801,                 0.5319,                0.54741,                0.84561,              0.0099911,              0.0099911,              0.0099911
                     12,                0.42739,                0.45996,                0.36453,                0.84876,                0.90927,                0.89713,                0.96345,                0.90443,                0.91025,                0.89852,                0.96476,                 0.8927,                0.41488,                0.48853,                0.48566,                0.83203,              0.0099901,              0.0099901,              0.0099901
                     13,                0.41259,                0.44962,                0.35695,                 0.8498,                0.92218,                0.88652,                0.96549,                0.90207,                0.92175,                0.88611,                0.96543,                0.87888,                0.42967,                0.53197,                0.47858,                0.83731,              0.0099891,              0.0099891,              0.0099891
                     14,                0.43934,                   0.48,                0.37915,                0.84599,                0.89293,                 0.8172,                0.93516,                0.88678,                 0.8553,                0.85215,                0.93485,                0.84853,                0.35459,                0.47171,                0.49577,                0.82066,              0.0099881,              0.0099881,              0.0099881
                     15,                 0.4184,                0.47126,                0.35579,                0.84265,                0.87545,                  0.924,                0.96532,                0.91345,                0.87539,                0.92708,                0.96646,                 0.8743,                0.37954,                0.50444,                0.42855,                0.83163,              0.0099871,              0.0099871,              0.0099871
                     16,                0.42593,                0.47054,                0.36595,                0.84775,                 0.9115,                0.90789,                0.96403,                0.90831,                0.91093,                0.90726,                0.96471,                0.89148,                0.41996,                0.49192,                0.41027,                0.83544,              0.0099861,              0.0099861,              0.0099861
                     17,                0.42637,                0.47711,                0.35619,                0.84298,                0.92331,                0.90078,                0.96506,                0.91944,                0.92434,                0.90182,                0.96565,                0.89585,                0.35016,                 0.5218,                0.39667,                0.81703,              0.0099851,              0.0099851,              0.0099851
                     18,                0.44475,                0.48714,                0.35498,                0.84001,                0.92314,                0.90436,                0.96181,                0.90281,                0.92272,                0.90395,                0.96151,                0.87991,                 0.4033,                0.51003,                0.44874,                0.82637,              0.0099842,              0.0099842,              0.0099842
                     19,                0.41628,                0.47258,                0.38311,                0.83933,                 0.9208,                0.88669,                0.95694,                0.90177,                0.91794,                0.88548,                0.95729,                0.87151,                0.40345,                0.55095,                0.55155,                0.83159,              0.0099832,              0.0099832,              0.0099832
                     20,                0.42707,                0.48177,                0.35348,                0.83903,                0.93286,                0.89184,                 0.9579,                0.90385,                0.93801,                0.89209,                0.95751,                0.86579,                0.39182,                0.53977,                0.40414,                0.82959,              0.0099822,              0.0099822,              0.0099822
                     21,                0.43207,                0.48254,                0.35184,                0.84708,                0.93152,                0.88936,                0.95539,                0.90331,                0.93194,                0.88977,                0.95527,                0.86663,                0.38404,                0.51951,                0.41106,                0.82635,              0.0099812,              0.0099812,              0.0099812
                     22,                0.41366,                0.44894,                0.33167,                0.83936,                0.93515,                0.88918,                0.96215,                0.90358,                0.93515,                0.88918,                0.96112,                0.87032,                0.41518,                0.51163,                0.41489,                0.83364,              0.0099802,              0.0099802,              0.0099802
                     23,                0.40205,                 0.4427,                0.32983,                0.83828,                0.92688,                0.89845,                0.96167,                0.91595,                0.91667,                0.90612,                0.96163,                0.89099,                0.34962,                 0.4948,                  0.393,                0.81959,              0.0099792,              0.0099792,              0.0099792
                     24,                0.41803,                0.46487,                 0.3436,                0.83122,                0.92366,                0.90564,                0.95652,                0.90801,                0.92409,                0.90605,                0.95658,                 0.8748,                0.37172,                0.49853,                0.41993,                0.83384,              0.0099782,              0.0099782,              0.0099782
                     25,                0.39717,                0.44456,                 0.3121,                0.83843,                0.92909,                0.87692,                0.94929,                0.89044,                0.92843,                0.87628,                0.94829,                0.86352,                0.41194,                0.51305,                0.44679,                0.83376,              0.0099772,              0.0099772,              0.0099772
                     26,                0.42175,                0.46944,                  0.331,                0.83819,                0.92125,                0.90308,                0.95615,                0.91045,                0.92167,                0.90349,                 0.9572,                0.87808,                0.35867,                0.49508,                0.39185,                0.82215,              0.0099762,              0.0099762,              0.0099762
                     27,                0.39902,                0.43944,                0.30678,                0.82892,                0.92386,                0.89962,                0.95995,                0.90847,                0.92511,                0.89925,                0.96032,                0.87724,                0.38235,                0.49985,                 0.4175,                0.82846,              0.0099753,              0.0099753,              0.0099753
                     28,                0.40591,                 0.4619,                0.32064,                0.82797,                 0.9186,                0.89929,                0.95904,                0.91203,                0.91818,                0.89888,                0.95797,                0.87738,                0.35068,                0.48622,                0.40891,                0.82323,              0.0099743,              0.0099743,              0.0099743
